carat,cut,color,clarity,depth,table,price
0.23,Ideal,E,SI2,61.5,55.0,326
0.21,Premium,E,SI1,59.8,61.0,326
0.23,Good,E,VS1,56.9,65.0,327
0.29,Premium,I,VS2,62.4,58.0,334
0.31,Good,J,SI2,63.3,58.0,335
0.24,Very Good,J,VVS2,62.8,57.0,336
0.24,Very Good,I,VVS1,62.3,57.0,336
0.26,Very Good,H,SI1,61.9,55.0,337
0.22,Fair,E,VS2,65.1,61.0,337
0.23,Very Good,H,VS1,59.4,61.0,338
0.3,Good,J,SI1,64.0,55.0,339
0.23,Ideal,J,VS1,62.8,56.0,340
0.22,Premium,F,SI1,60.4,61.0,342
0.31,Ideal,J,SI2,62.2,54.0,344
0.2,Premium,E,SI2,60.2,62.0,345
0.32,Premium,E,I1,60.9,58.0,345
0.3,Ideal,I,SI2,62.0,54.0,348
0.3,Good,J,SI1,63.4,54.0,351
0.3,Good,J,SI1,63.8,56.0,351
0.3,Very Good,J,SI1,62.7,59.0,351
0.3,Good,I,SI2,63.3,56.0,351
0.23,Very Good,E,VS2,63.8,55.0,352
0.23,Very Good,H,VS1,61.0,57.0,353
0.31,Very Good,J,SI1,59.4,62.0,353
0.31,Very Good,J,SI1,58.1,62.0,353
0.23,Very Good,G,VVS2,60.4,58.0,354
0.24,Premium,I,VS1,62.5,57.0,355
0.3,Very Good,J,VS2,62.2,57.0,357
0.23,Very Good,D,VS2,60.5,61.0,357
0.23,Very Good,F,VS1,60.9,57.0,357
0.23,Very Good,F,VS1,60.0,57.0,402
0.23,Very Good,F,VS1,59.8,57.0,402
0.23,Very Good,E,VS1,60.7,59.0,402
0.23,Very Good,E,VS1,59.5,58.0,402
0.23,Very Good,D,VS1,61.9,58.0,402
0.23,Good,F,VS1,58.2,59.0,402
0.23,Good,E,VS1,64.1,59.0,402
0.31,Good,H,SI1,64.0,54.0,402
0.26,Very Good,D,VS2,60.8,59.0,403
0.33,Ideal,I,SI2,61.8,55.0,403
0.33,Ideal,I,SI2,61.2,56.0,403
0.33,Ideal,J,SI1,61.1,56.0,403
0.26,Good,D,VS2,65.2,56.0,403
0.26,Good,D,VS1,58.4,63.0,403
0.32,Good,H,SI2,63.1,56.0,403
0.29,Premium,F,SI1,62.4,58.0,403
0.32,Very Good,H,SI2,61.8,55.0,403
0.32,Good,H,SI2,63.8,56.0,403
0.25,Very Good,E,VS2,63.3,60.0,404
0.29,Very Good,H,SI2,60.7,60.0,404
0.24,Very Good,F,SI1,60.9,61.0,404
0.23,Ideal,G,VS1,61.9,54.0,404
0.32,Ideal,I,SI1,60.9,55.0,404
0.22,Premium,E,VS2,61.6,58.0,404
0.22,Premium,D,VS2,59.3,62.0,404
0.3,Ideal,I,SI2,61.0,59.0,405
